_n,w,Average fitness,Average fitness deviation,Fitness median,Maximum fitness,Minimum fitness,Standard fitness deviation,Fitness range,Selection,Crossover,Mutation
570,11,23.52,10.28,20.8,55.44,11.15,12.97,44.29,Tournament,Uniform,Flipbit
571,12,20.04,9.91,13.6,57.32,11.3,13.49,46.02,Tournament,Uniform,Flipbit
572,13,25.84,12.25,21,60.92,11.35,15.35,49.57,Tournament,Uniform,Flipbit
573,14,37.06,18.18,32.85,65.27,11.37,19.73,53.9,Tournament,Uniform,Flipbit
574,15,20.82,7.2,21.05,51.21,11.37,10.06,39.84,Tournament,Uniform,Flipbit
575,16,16.39,4.64,14.05,33.2,11.37,5.66,21.83,Tournament,Uniform,Flipbit
576,17,18.49,5.34,15.41,27.95,12.1,5.68,15.85,Tournament,Uniform,Flipbit
577,18,20.82,4.35,21.3,38.85,11.85,6.16,27,Tournament,Uniform,Flipbit
578,19,23.1,5.39,22.99,36.55,11.65,6.99,24.9,Tournament,Uniform,Flipbit
579,20,19.7,7.87,14.9,40.14,11.07,9.25,29.07,Tournament,Uniform,Flipbit
580,1,19.71,5.12,21.1,33.45,9.4,6.17,24.05,Tournament,Uniform,Gaussian
581,2,22.98,5.84,21.45,44.45,11.2,8.3,33.25,Tournament,Uniform,Gaussian
582,3,28.5,5.49,31.15,34.2,13.05,6.51,21.15,Tournament,Uniform,Gaussian
583,4,33.34,1.4,34.2,34.6,23.85,2.38,10.75,Tournament,Uniform,Gaussian
584,5,34.8,0.29,35,35.15,34.25,0.32,0.9,Tournament,Uniform,Gaussian
585,6,33.29,1.82,34.35,34.35,24.2,3.03,10.15,Tournament,Uniform,Gaussian
586,7,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
587,8,35.13,0.04,35.15,35.15,34.75,0.09,0.4,Tournament,Uniform,Gaussian
588,9,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
589,10,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
590,11,44.91,1.22,45.55,45.55,32.75,2.79,12.8,Tournament,Uniform,Gaussian
591,12,34.75,0,34.75,34.75,34.75,0,0,Tournament,Uniform,Gaussian
592,13,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
593,14,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
594,15,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
595,16,34.75,0,34.75,34.75,34.75,0,0,Tournament,Uniform,Gaussian
596,17,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
597,18,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
598,19,35.15,0,35.15,35.15,35.15,0,0,Tournament,Uniform,Gaussian
599,20,45.55,0,45.55,45.55,45.55,0,0,Tournament,Uniform,Gaussian
600,1,19.25,6.38,18.15,32.51,7.83,7.32,24.68,Tournament,Twopoint,Uniform
601,2,22.86,5.55,23.35,35.69,11,6.94,24.69,Tournament,Twopoint,Uniform
602,3,31.62,6.73,31.15,53.11,17.99,9.15,35.12,Tournament,Twopoint,Uniform
603,4,39.45,7.14,38.2,53.11,25.55,8.46,27.56,Tournament,Twopoint,Uniform
604,5,46.1,7.6,51.09,53.11,31.15,8.51,21.96,Tournament,Twopoint,Uniform
605,6,49.81,4.73,53.11,54.19,21.15,8.13,33.04,Tournament,Twopoint,Uniform
606,7,53.43,0.45,53.11,54.19,53.11,0.49,1.08,Tournament,Twopoint,Uniform
607,8,54.08,0.19,54.19,54.19,53.11,0.32,1.08,Tournament,Twopoint,Uniform
608,9,54.03,0.31,54.19,54.19,50.9,0.72,3.29,Tournament,Twopoint,Uniform
609,10,54.19,0,54.19,54.19,54.19,0,0,Tournament,Twopoint,Uniform
610,11,54.19,0,54.19,54.19,54.14,0.01,0.05,Tournament,Twopoint,Uniform
611,12,54.19,0,54.19,54.19,54.19,0,0,Tournament,Twopoint,Uniform
612,13,53.69,0.95,54.19,54.19,44.19,2.18,10,Tournament,Twopoint,Uniform
613,14,54.19,0,54.19,54.19,54.19,0,0,Tournament,Twopoint,Uniform
614,15,54.19,0,54.19,54.19,54.19,0,0,Tournament,Twopoint,Uniform
615,16,54.19,0,54.19,54.19,54.19,0,0,Tournament,Twopoint,Uniform
616,17,53.69,0.95,54.19,54.19,44.19,2.18,10,Tournament,Twopoint,Uniform
617,18,54.19,0,54.19,54.19,54.19,0,0,Tournament,Twopoint,Uniform
618,19,54.19,0,54.19,54.19,54.19,0,0,Tournament,Twopoint,Uniform
619,20,54.19,0,54.19,54.19,54.14,0.01,0.05,Tournament,Twopoint,Uniform
620,1,20.95,6.07,20.38,35.37,10.4,7.69,24.97,Tournament,Twopoint,Flipbit
621,2,20.76,10.18,16.39,52.48,2.45,13.16,50.03,Tournament,Twopoint,Flipbit
622,3,29.07,7.05,27.27,49.5,17.62,8.93,31.88,Tournament,Twopoint,Flipbit
623,4,33.37,9.38,34.27,57.84,6.64,12.44,51.2,Tournament,Twopoint,Flipbit
624,5,36.08,10.33,37.03,57,11.2,12.43,45.8,Tournament,Twopoint,Flipbit
625,6,40.2,9.64,43.68,58,12.03,11.75,45.97,Tournament,Twopoint,Flipbit
626,7,38.83,13.81,38.25,58.33,11.09,15.12,47.24,Tournament,Twopoint,Flipbit
627,8,51.11,7.25,55.82,58.2,21.9,9.97,36.3,Tournament,Twopoint,Flipbit
628,9,43.86,15.96,53.42,58.95,11.38,17.76,47.57,Tournament,Twopoint,Flipbit
629,10,36.87,19.43,38.43,74.95,11.07,20.73,63.88,Tournament,Twopoint,Flipbit
630,11,45.55,13.92,52.27,74.88,11.7,16.49,63.18,Tournament,Twopoint,Flipbit
631,12,52,10.4,57.07,74.8,11.61,14.52,63.19,Tournament,Twopoint,Flipbit
632,13,64.09,7.82,60.32,75.13,48.25,8.34,26.88,Tournament,Twopoint,Flipbit
633,14,68.39,5.31,71.57,74.95,56.98,5.97,17.97,Tournament,Twopoint,Flipbit
634,15,62.43,17.84,73.18,76.33,11.39,22.53,64.94,Tournament,Twopoint,Flipbit
635,16,63.08,16.04,74.33,76.89,21.47,20.39,55.42,Tournament,Twopoint,Flipbit
636,17,72.86,3.07,74.77,76.7,63.11,3.7,13.59,Tournament,Twopoint,Flipbit
637,18,59.38,19.67,71.65,77.2,13.8,21.96,63.4,Tournament,Twopoint,Flipbit
638,19,73.16,3.51,75.12,77.2,61.45,4.49,15.75,Tournament,Twopoint,Flipbit
639,20,74.06,2.54,75.46,77.2,58.35,4.15,18.85,Tournament,Twopoint,Flipbit
640,1,21.97,7.55,22.33,44.1,8.8,9.68,35.3,Tournament,Twopoint,Gaussian
641,2,29,5.84,27.78,44.7,20.2,6.73,24.5,Tournament,Twopoint,Gaussian
642,3,29.04,4.31,30.5,39.45,19.75,5.16,19.7,Tournament,Twopoint,Gaussian
643,4,33.25,3.16,31.18,53.5,29.9,5.51,23.6,Tournament,Twopoint,Gaussian
644,5,35.88,5.4,32.85,53.8,29.3,7.04,24.5,Tournament,Twopoint,Gaussian
645,6,37.58,7.06,34.8,53.8,28.6,8.51,25.2,Tournament,Twopoint,Gaussian
646,7,40.09,4.64,38.7,53.5,31.2,6.41,22.3,Tournament,Twopoint,Gaussian
647,8,48.01,6.86,53.5,54.1,35.4,7.3,18.7,Tournament,Twopoint,Gaussian
648,9,45.62,7.3,39.95,54.1,38.7,7.35,15.4,Tournament,Twopoint,Gaussian
649,10,41.75,4.76,38.7,53.8,38.7,5.96,15.1,Tournament,Twopoint,Gaussian
650,11,42.52,5.7,38.7,54.4,38.7,6.58,15.7,Tournament,Twopoint,Gaussian
651,12,45.64,7.26,39.95,54.1,38.7,7.31,15.4,Tournament,Twopoint,Gaussian
652,13,45.64,7.38,39.95,54.4,38.7,7.43,15.7,Tournament,Twopoint,Gaussian
653,14,43.25,6.21,38.7,54.1,38.7,6.78,15.4,Tournament,Twopoint,Gaussian
654,15,44.98,7,39.95,54.4,38.7,7.16,15.7,Tournament,Twopoint,Gaussian
655,16,41.8,4.71,38.7,53.8,38.7,5.9,15.1,Tournament,Twopoint,Gaussian
656,17,44.74,7.13,38.7,54.1,38.7,7.28,15.4,Tournament,Twopoint,Gaussian
657,18,47.19,7.37,53.5,54.4,39,7.41,15.4,Tournament,Twopoint,Gaussian
658,19,43.62,6.08,39.48,54.1,39,6.65,15.1,Tournament,Twopoint,Gaussian
659,20,41.41,3.81,39,54.4,39,5.34,15.4,Tournament,Twopoint,Gaussian
660,1,16.12,4.89,13.88,26.9,10.25,5.63,16.65,Tournament,Onepoint,Uniform
661,2,20.22,4.44,20.73,34.1,13,5.38,21.1,Tournament,Onepoint,Uniform
662,3,58.66,62.74,24.15,686.1,17.25,144.04,668.85,Tournament,Onepoint,Uniform
663,4,96.63,117.89,35.55,686.1,21.15,196.58,664.95,Tournament,Onepoint,Uniform
664,5,297.1,312.78,43.13,697.7,21.2,319.45,676.5,Tournament,Onepoint,Uniform
665,6,625.72,118.24,690.6,697.7,28.3,197.17,669.4,Tournament,Onepoint,Uniform
666,7,697.31,0.66,697.7,697.7,695.1,0.93,2.6,Tournament,Onepoint,Uniform
667,8,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
668,9,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
669,10,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
670,11,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
671,12,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
672,13,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
673,14,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
674,15,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
675,16,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
676,17,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
677,18,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
678,19,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
679,20,697.7,0,697.7,697.7,697.7,0,0,Tournament,Onepoint,Uniform
680,1,20.6,6.92,20.57,35.35,9.3,7.85,26.05,Tournament,Onepoint,Flipbit
681,2,22.99,9.2,22.5,43.85,9.85,10.08,34,Tournament,Onepoint,Flipbit
682,3,30.24,10.69,31.56,53.29,12.55,12.61,40.74,Tournament,Onepoint,Flipbit
683,4,33.29,8.13,34.31,55.57,11.2,10.26,44.37,Tournament,Onepoint,Flipbit
684,5,36.46,8.96,39.45,52.38,11.45,10.85,40.93,Tournament,Onepoint,Flipbit
685,6,36.82,11.21,42.94,52.95,12.2,12.67,40.75,Tournament,Onepoint,Flipbit
686,7,45.53,6.56,46.34,65.3,25.75,8.67,39.55,Tournament,Onepoint,Flipbit
687,8,47.79,11.18,51.93,68.28,11.2,14,57.08,Tournament,Onepoint,Flipbit
688,9,55.64,8.33,60.07,64.3,11.5,13.4,52.8,Tournament,Onepoint,Flipbit
689,10,55.7,10.73,62.23,70.32,21.2,14.17,49.12,Tournament,Onepoint,Flipbit
690,11,61.79,8.27,65.92,71.23,21.15,12.16,50.08,Tournament,Onepoint,Flipbit
691,12,57.58,15.68,68,74.75,11.21,20.23,63.54,Tournament,Onepoint,Flipbit
692,13,66.69,9.58,71.77,74.74,13.12,15.42,61.62,Tournament,Onepoint,Flipbit
693,14,70.38,4.67,73.22,75.52,53.87,5.92,21.65,Tournament,Onepoint,Flipbit
694,15,61.4,17.98,74.26,75.69,12.25,22.91,63.44,Tournament,Onepoint,Flipbit
695,16,59.72,16.75,67.6,75.72,11.42,21.62,64.3,Tournament,Onepoint,Flipbit
696,17,70.82,4.11,73.02,75.75,61.5,4.55,14.25,Tournament,Onepoint,Flipbit
697,18,71.07,4.53,74.46,75.97,63.6,4.66,12.37,Tournament,Onepoint,Flipbit
698,19,69.04,9.1,75.46,76.25,22.8,14.42,53.45,Tournament,Onepoint,Flipbit
699,20,73.59,3.68,75.86,76.2,59.5,4.86,16.7,Tournament,Onepoint,Flipbit
700,1,21.8,5.98,21.88,33.55,9.71,7.41,23.84,Tournament,Onepoint,Gaussian
701,2,32.29,2.17,32.75,45.35,19.95,4.16,25.4,Tournament,Onepoint,Gaussian
702,3,33.66,3.39,32.53,45.35,21.15,5.23,24.2,Tournament,Onepoint,Gaussian
703,4,34.11,3.57,32.7,46.6,29.6,5.13,17,Tournament,Onepoint,Gaussian
704,5,37.47,7.47,35.4,46.9,21.15,8.32,25.75,Tournament,Onepoint,Gaussian
705,6,42.84,5.08,46.1,47.2,31.15,5.94,16.05,Tournament,Onepoint,Gaussian
706,7,42.21,5.74,46.6,46.9,32.2,6.08,14.7,Tournament,Onepoint,Gaussian
707,8,42.81,5.46,46.6,48.1,32.7,6,15.4,Tournament,Onepoint,Gaussian
708,9,43.94,4.26,46.6,46.6,32.7,5.32,13.9,Tournament,Onepoint,Gaussian
709,10,45.97,1.21,46.6,46.6,33.9,2.77,12.7,Tournament,Onepoint,Gaussian
710,11,46.6,0,46.6,46.6,46.6,0,0,Tournament,Onepoint,Gaussian
711,12,46.6,0,46.6,46.6,46.6,0,0,Tournament,Onepoint,Gaussian
712,13,46.6,0,46.6,46.6,46.6,0,0,Tournament,Onepoint,Gaussian
713,14,46.6,0,46.6,46.6,46.6,0,0,Tournament,Onepoint,Gaussian
714,15,46.6,0,46.6,46.6,46.6,0,0,Tournament,Onepoint,Gaussian
715,16,46.6,0,46.6,46.6,46.6,0,0,Tournament,Onepoint,Gaussian
716,17,46.16,0.96,46.6,47.75,36.6,2.21,11.15,Tournament,Onepoint,Gaussian
717,18,46.23,1.17,46.6,47.75,34.5,2.73,13.25,Tournament,Onepoint,Gaussian
718,19,47.46,0.43,47.75,47.75,46.6,0.5,1.15,Tournament,Onepoint,Gaussian
719,20,47.75,0,47.75,47.75,47.75,0,0,Tournament,Onepoint,Gaussian
